frame,timestamp,can_track_id,x1,y1,x2,y2
3843,613.9,22,22,537,307,1080
3844,614.06,20,403,124,564,344
3844,614.06,22,25,536,311,1080
3845,614.22,20,403,124,564,344
3845,614.22,22,29,535,316,1080
3846,614.38,20,402,123,564,344
3846,614.38,22,32,534,320,1080
3847,614.54,20,402,123,564,344
3847,614.54,22,36,533,324,1080
3848,614.7,20,401,122,564,344
3848,614.7,22,40,532,328,1080
3849,614.86,20,401,122,564,344
3849,614.86,22,43,531,332,1081
3850,615.02,20,401,121,564,344
3850,615.02,22,47,530,337,1081
3851,615.18,20,400,120,564,344
3851,615.18,22,50,529,341,1081
3852,615.34,20,408,136,556,337
3852,615.34,22,54,528,345,1081
3853,615.5,20,404,128,559,338
3853,615.5,22,57,527,349,1081
3854,615.65,20,408,135,555,334
3854,615.65,22,61,526,354,1081
3855,615.81,20,410,138,555,333
3855,615.81,22,65,525,358,1082
3856,615.97,20,411,149,551,335
3856,615.97,22,68,524,362,1082
3857,616.13,20,412,154,550,334
3857,616.13,22,72,523,366,1082
3858,616.29,20,413,159,549,336
3858,616.29,22,75,522,370,1082
3859,616.45,20,415,162,551,336
3859,616.45,22,79,521,375,1082
3860,616.61,20,417,163,553,336
3860,616.61,22,83,520,379,1082
3861,616.77,20,418,164,553,336
3861,616.77,22,86,519,383,1082
3862,616.93,20,418,165,554,337
3862,616.93,22,90,518,387,1083
3863,617.09,20,417,165,554,339
3863,617.09,22,93,517,392,1083
3864,617.25,20,418,166,554,339
3864,617.25,22,97,516,396,1083
3865,617.41,20,407,152,558,343
3865,617.41,22,101,514,400,1083
3866,617.57,20,403,139,560,338
3866,617.57,22,104,513,404,1083
3867,617.73,20,402,133,561,338
3867,617.73,22,108,512,408,1083
3868,617.89,20,401,131,562,339
3868,617.89,22,111,511,413,1083
3869,618.05,20,403,132,560,337
3869,618.05,22,115,510,417,1084
3870,618.21,20,403,132,560,337
3870,618.21,22,119,509,421,1084
3871,618.37,20,404,132,561,337
3872,618.53,20,404,131,561,337
3873,618.69,20,403,129,561,337
3874,618.85,20,403,128,562,337
3875,619.01,20,405,130,558,333
3876,619.17,20,404,129,557,333
3877,619.33,20,403,130,557,335
3878,619.49,20,404,130,557,335
3879,619.65,20,404,130,557,335
3880,619.81,20,405,131,556,334
3881,619.97,20,406,131,556,334
3882,620.13,20,406,131,556,334
3883,620.29,20,405,131,556,335
3884,620.45,20,405,130,556,335
3885,620.61,20,405,130,556,336
3886,620.77,20,404,130,556,336
3887,620.93,20,405,130,557,336
3888,621.09,20,406,130,558,336
3889,621.25,20,406,131,558,336
3890,621.41,20,406,131,558,337
3891,621.57,20,406,132,558,336
3892,621.73,20,407,132,557,336
3893,621.88,20,407,132,558,336
3894,622.04,20,407,133,557,335
3895,622.2,20,407,133,558,335
3896,622.36,20,407,133,557,334
3897,622.52,20,407,133,559,337
3898,622.68,20,407,132,559,337
3899,622.84,20,408,132,560,338
3900,623.0,20,408,133,559,339
3901,623.16,20,408,135,559,339
3902,623.32,20,407,135,560,343
3903,623.48,20,407,136,560,344
3904,623.64,20,409,137,560,343
3905,623.8,20,407,137,562,349
3906,623.96,20,407,136,564,352
3907,624.12,20,409,134,567,355
3908,624.28,20,415,134,575,354
3909,624.44,20,415,132,579,355
3910,624.6,20,418,132,583,356
3911,624.76,20,417,131,583,356
3912,624.92,20,418,131,584,355
3913,625.08,20,415,131,580,352
3913,625.08,24,466,826,573,972
3914,625.24,20,416,132,579,349
3914,625.24,24,466,826,574,972
3915,625.4,20,418,133,579,347
3915,625.4,24,466,826,576,974
3916,625.56,20,420,133,583,350
3916,625.56,24,465,826,575,975
3917,625.72,20,421,133,586,352
3917,625.72,24,467,826,576,975
3918,625.88,20,408,127,590,368
3918,625.88,24,467,826,577,976
3919,626.04,20,404,124,589,371
3919,626.04,24,468,826,577,977
3920,626.2,20,403,125,587,366
3920,626.2,24,468,827,578,978
3921,626.36,20,407,125,585,358
3921,626.36,24,468,827,579,978
3922,626.52,20,409,128,582,355
3922,626.52,24,468,827,579,979
3923,626.68,20,411,130,579,350
3923,626.68,24,469,827,580,980
3923,626.68,25,212,144,347,341
3924,626.84,20,411,130,581,354
3924,626.84,24,469,827,581,981
3924,626.84,25,211,144,349,345
3925,627.0,20,408,128,583,358
3925,627.0,24,471,833,578,982
3925,627.0,25,211,144,350,348
3926,627.16,20,410,123,588,358
3926,627.16,24,472,834,578,983
3926,627.16,25,210,144,352,352
3927,627.32,20,409,122,588,359
3927,627.32,24,472,834,578,984
3927,627.32,25,210,144,354,355
3928,627.48,20,409,121,589,359
3928,627.48,24,473,835,579,984
3928,627.48,25,209,144,356,359
3929,627.64,20,409,121,590,360
3929,627.64,24,466,823,576,979
3929,627.64,25,209,144,358,362
3930,627.8,20,409,120,591,361
